couponId,couponname,couponsecuritycode,couponamount,couponcurrency,couponpercent,couponstartdate,couponenddate,couponlimit,couponcategories,couponproducts,couponusedcount,couponlastuseddate,couponcomment,couponother
110982,00101698G9,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
110981,0010171PKB,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
110980,00101786Q8,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
110979,00100064VJ,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106598,0010163KUO,C1D1C30E8F,68,SGD,0,6/15/2014,1/15/2015,1,,,1,9/3/2014,Actual exp is 15 Dec 2014,
106597,"0010082KMR	",,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106596,00102379GC,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106595,0010227T7Z,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106594,0010223858,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106593,0010221G44,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106592,0010219PO3,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106591,0010210Q8S,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106590,0010208M9Q,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106589,0010206R8W,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106588,001019941N,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106587,001012083P,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106586,0010118P7E,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106585,0010067E2S,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106584,001006364C,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106583,00100584UV,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106582,0010039XLH,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106581,00100329OB,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106580,0010030AVP,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106579,00100294V4,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106578,0010022HET,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106577,0010016JDQ,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106576,0010009R40,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106575,0010001OWL,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106574,0010156DG6,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106573,0020206EOY,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106572,0020202TXR,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106571,0020150456,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106570,00201487B7,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106569,0020137HF5,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106568,0020127BVT,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106567,0020108EFI,1200F13936,68,SGD,0,6/15/2014,1/15/2015,1,,,1,9/4/2014,Actual exp is 15 Dec 2014,
106566,0020099JD4,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106565,0020069ZJG,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106564,0020022NWR,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106563,0020013XW2,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106562,0020245M78,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106561,00202356ND,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106560,00202051QA,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106559,00202008F9,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106558,00201965EU,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106557,00201864E9,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106556,0020185S52,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106555,0020180WGC,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106554,00201781WJ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106553,0020165P7P,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106552,0020150C4P,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106551,0020147BBH,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106550,00201406YX,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106549,0020134AAP,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106548,0020130GGW,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106547,0020111GSQ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106546,0020110V44,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106545,0020109R54,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106544,00200940Y1,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106543,00200895D7,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106542,002008672R,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106541,00200436FI,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
