SHORT REF,COMPANY NAME,ADDRESS 1,ADDRESS 2,ADDRESS 3,POSTCODE,TOWN ,COUNTY,CONTACT ,TEL
1,Kuwait Finance House (Malaysia) Bhd,Level 15 Tower 1 MNI Twins,11 Jalan Pinang,,50704,Kuala Lumpur ,,Ivy,03-2055 7777
2,Willis Insurance Brokers,Lvl 24 Tower 2 Etiqa Twins,11 Jalan Pinang ,,50450,Kuala Lumpur,,Reception,03-21709888
3,Cathay Pacific,Suite 22.1 Level 22,Menara IMC ,8 Jalan Sultan Ismail,50250, Kuala Lumpur,,,
4,Hua Wei Technologies,Level 20The Icon,No.1Jalan 1/68F,Off Jalan Tun Razak,50400,Kuala Lumpur,,HR,
5,Digi Telecommunication,Lot 10 Jln. Delima 1/1,Subang Hi-Tech, Industrial Park,40000 ,Shah Alam,,EILEAN ONG,
6,Crown Worldwide,LOT 7 JLN DELIMA 1/1 SUBANG        , HI-TECH INDUSTRIAL PARK,batu  TIGA                 ,  40000,Shah Alam,,Ms Valentine,
7,Carlsberg Brewery Malaysia Berhad,No 55 Persiaran Selangor,Section 15 ,,40200,Shah Alam,,Regina,03-55226688
9,KULICKE & SOFFA TECHNOLOGY,No.16Jalan TP 5,Taman Perindustrian UEP,,47600,SUBANG JAYA,,Khairul,03-77186788
10,Tradewinds International Insurance Brk,37th FloorCap Square Tower,No.10Jalan Munshi Abdullah,,50100, Kuala Lumpur,,Reception,012-3297524
11,Kumpulan Senireka,13th Floor Wisma Bumi Raya,10 Jalan Raja Laut,,50350,Kuala Lumpur,,Reception,
12,SP & G Insurance Brokers,2th Floor Menara KWSP ,Changkat Raja Chulan,,50250,Kuala Lumpur,,Farah,
13,CDL Hotel / GRAND MELLINNUM,160 Jalan Bukit Bintang,(Basement),,55100,Kuala Lumpur,,Ms.Zuli,
14,NCR,Level 18 AMODA ,22 Jalan Imbi,,55100,Kuala Lumpur ,,Reception,
15,Impiana KLCC / Heritage Lane,3rd Floor No. 13,Jalan Pinang,,50450,Kuala Lumpur ,,Azat,
16,Convex Malaysia ,Kuala Lumpur ,Convention Centre,KLCC,50088,Kuala Lumpur ,,Connie Ngu,03-23332823
17,Mandarin Oriental,KLCC,Collection & Delivery ,,50088,Kuala Lumpur ,,HR,
18,ABBOT LABORATORIES,22 Jln Pemaju U/15,Seksyen U1,,40150,Shah Alam,,VOON HAR PENG ,03-55663298
19,VOLVO MALAYSIA SDN BHD,No.6 Jln Bicu 15/6,Seksyen 15,,40200,Shah Alam,,Elaine Yap,03-55103300
20,PHARMANIAGA,No. 7 Lorong Keluli 1B,Seksyen 7 ,,40000, Shah Alam,,Cik Herny,33429999
21,PUNCAK NIAGA,Wisma Rozali,No.4Persiaran Sukan,Seksyen 13,40100, Shah Alam,,Zalila,
22,MCIS,Wisma MCIS,Jalan Barat ,,46200 ,Petaling Jaya,,Siti Azlina,03-7959 8561
23,Mit Insurance Brokers,Suite B616 6 th Floor ,East Wing Wisma Consplant 2,No. 7 Jalan SS16/1,47500,Subang Jaya,,Reception,03-55215555
24,Mesiniaga Berhad,4th Floor Menara Mesiniaga,1A Jalan SS 16/1,,47500,Subang Jaya,,HR Dept,03-5635 8828
25,Sheraton Subang /Grand Dorrset,Lower Ground Jalan SS 12/1,Subang Jaya ,,47500,Petaling Jaya ,,HR Dept,
26,HEIDELBERG MALAYSIA SDN. BHD.,Office Suite B-08-01 ,Block B Level 8 ,Sky Park One City ,47650,Subang Jaya,,LAU AI LING,603-5115 3288 
27,TNT Worldwide Express,17th Floor Menara PKNS,Jalan Yong Shook Lin,,46050,Petaling Jaya,,Reception,03-7962 3333
28,APL-NOL,3rd Floor East Wing,Wisma Consplant 2,No. 7 Jalan SS 16/1,47500,Subang Jaya,,HR Dept,03-5638 6000
29,Transmile Management (M) SB,Transmile Centre Cargo Complex,Sultan Abdul Aziz Shah Airport,,47200,Subang Jaya,,Ms.Sharon,03-78473757
30,Transmile Air Services,Transmile Air Engineering Complex ,Lot 4060(AA/4/65),Subang Airport,47200,Subang Jaya,,Mr.Ilhahakien,03-78465066
31,ACSA XEROX COMPANY,Ground FloorPersoft Tower,6BOff Persiaran Tropicana,,47410,Petaling Jaya ,,Reception,03-78845225
32,3M Malaysia Sdn Bhd,Level 8 Block F Oasis Square,No. 2 Jalan PJU 1A/7A,Ara Damansara,47301,Petaling Jaya,,Anna Chan, 03-7884 2888
33,Getronics Solutions,Suite 3A-7 ,7th Floor Plaza Sentral,Jalan Stesen Sentral 5,50470, Kuala Lumpur ,,Reception,03-2267 6888
34,Unilever (Malaysia) Holdings,Level 34 Menara Telekom,Jalan Pantai Baru,,50672,Kuala Lumpur,,Reception,03-2246 2246
35,SRG Asia Pacific,Suite 1B-3A Lvl 3A Blk 1B,Plaza Sentral Jalan Stesen Sentral 5,,50470,Kuala Lumpur ,,Chong Vun Fung,03-2069 6688
36,BASF Asia Pacific,Level 25 Menara TM,Jalan Pantai Baru,,59200,Kuala Lumpur,,Reception,03-2246 9000
37,LENOVO TECHNOLOGY SDN. BHD,LEVEL 3 TOWER A&B UPTOWN 5       ,5 JALAN SS21/39                   ,DAMANSARA UPTOWN                   ,47400,PETALING JAYA                      ,,,
38,CodeMasters Studio,Suite 1B-13A Block 1B Plaza Sentral,Jalan Stesen Sentral 5,,50470, Kuala Lumpur ,,Fara Nadia,03-2279 9555
39,Maxis (KL Sentral Branch),Grd Flr Block 1A Plaza Sentral,Jalan Stesen Sentral 5,,50470,Kuala Lumpur ,,Jamiaan,03-2300 0035
40,NOKIA SIEMENS NETWORKS S/B,Level 31Building 7tower D,Jln Stesen Sentral 5,KL Sentral,50470,Kuala Lumpur ,,I-Summ,03-23029000
41,SURUHANJAYA SYARIKAT MALAYSIA,Tingkat 24Menara SSM Sentral,No.7Jalan Sentral 5,Kuala Lumpur Sentral,50470,Kuala Lumpur,,Puan.Mai Zulaiha,
42,EPS VENTURES,2A-11-1Level 11 Block 2A,Plaza SentralJln Sentral Stesen 5,,50470,Kuala Lumpur,,Mervyn Lai,03-22682888
43,Carigali HESS,Level 68 Tower 2,Petronas Twin Tower,Kuala Lumpur City Centre,50088,Kuala Lumpur,,Darren,03-21796018
44,Petronas (KLCC),Basement 1 Tower 1,Petronas Twin Tower,Kuala Lumpur City Centre,50088,Kuala Lumpur,,Mailing Room,
45,GUINNESS ANCHOR BERHAD.       ,LOT 1135 BATU 9             ,JALAN KLANG LAMA              ,P.O.BOX 144,46710,Kuala Lumpur,,Kelvinder Kaur,03- 7861 4417
46,HITACHI DATA SYSTEMS,B-10-1Level 10Tower B,Menara UOA Bangsar,No.5Jalan Bangsar Utama 1,59000,Kuala Lumpur,,EstherMok,03-23033000
47,MARSH INSURANCE BROKERS (M) SDN BHD,Unit B-9-1Level 9,Block BMenara UOA,5Jln Bangsar Utama 1,59000,Kuala Lumpur,,,
48,MELALEUCA SOUTHEAST ASIA (MALAYSIA) SDN. BHD,UNIT B-10-3A & 5 LEVEL 10     ,MENARA UOA      ,5 JLN BANGSAR UTAMA 1    ,59000,Kuala Lumpur,,Khairiaty,03 23304688      
49,TAKAFUL IKHLAS SDN BHD,Tower 11AAvenue 5Bangsar South,No.8 Jalan Kerinchi,,59200, Kuala Lumpur,,Naim,03-2723 9999
50,MEPS @ HORIZON,Tower 5Avenue 3Bangsar South,No.8 Jalan Kerinchi,MALAYSIAN ELECTRONIC PAYMENT,59200,Kuala Lumpur,,Pn.Rashidah,03-27810500
51,Time Engineering Berhad,Level 7Tower 3Avenue 5,The HorizonBangsar South,No.8Jalan Kerinchi KL,59000,Kuala Lumpur,,Linda (HR), 03-27300300
52,Disposable Soft Goods (M) Sdn Bhd,Suites W801 & W805,8th floorWest Wing,Wisma Consplant 1,47500,Subang Jaya,,,03-56218808
53,Dagang Net,Level 7Tower 3Avenue 5,The HorizonBangsar South,No.8Jalan Kerinchi KL,59000,Kuala Lumpur,,HR,
54,UNITED PARCEL SERVICE (M) SDN BHD,No 21 Jalan Tiang U8/93,Seksyen U8,,40150,Shah Alam,,hamsiah,03 5021 8904/05
55,ABB Malaysia Sdn Bhd,Lot 608 Jalan SS 13/1K,,,47500,SUBANG JAYA,,FARAH,03-5628488
56,Transwater Tenaga Sdn Bhd ,35 Jalan Pengacara U1/48,Temasya Industrial Park,Section U1,40150  ,Shah Alam,,Nurulhazreen ,55691155
57,WDM - P2 Clinic,Western Digital (M) Sdn Bhd,Lot 3 Jalan SS 8/6 ,,47300, Petaling Jaya,,Indra,03-76825160
58,WDM - P7 Clinic,Western Digital (M) Sdn Bhd,Lot 1 Jalan SS 8/4 ,,47300, Petaling Jaya,,Norafifah,3-76824674
